planet_name,planet_mass,planet_radius,star_name,star_distance_to_us (pc),star_mass,star_radius,star_sp_type,has_atmospere
NGTS-24 b,0.52,1.214,NGTS-24,723.0,1.26,1.64,G2IV,
NGTS-25 b,0.639,1.023,NGTS-25,517.0,0.91,0.86,KOV,
NGTS-4 b,0.0648,0.2837,NGTS-4,282.6,0.75,0.84,,
NGTS-5 b,0.229,1.136,NGTS-5,309.5,0.661,0.739,K2V,
NGTS-8 b,0.93,1.09,NGTS-8,434.273,0.89,0.98,KOV,
OGLE-2005-169L b,0.0444,,OGLE-2005-169L,4100.0,0.69,,K5,
OGLE-2005-390L b,0.017,,OGLE-2005-390L,6500.0,0.22,,M,
OGLE-2006-109L b,0.727,,OGLE-2006-109L,1510.0,0.51,,,
OGLE-2006-109L c,0.271,,OGLE-2006-109L,1510.0,0.51,,,
OGLE-2006-BLG-284 b,0.453,,OGLE-2006-BLG-284,4000.0,0.45,,,
OGLE-2007-BLG-349L (AB) b,0.25,,OGLE-2007-BLG-349L (AB),2760.0,0.71,,,
OGLE-2007-BLG-368L b,0.0694,,OGLE-2007-BLG-368L,5900.0,0.64,,,
OGLE-2008-BLG-092L A b,0.18,,OGLE-2008-BLG-092L A,7000.0,0.71,,,
OGLE-2011-BLG-0173L b,0.19,,OGLE-2011-BLG-0173L,6200.0,0.4,,,
OGLE-2011-BLG-0251L b,0.96,,OGLE-2011-BLG-0251L,4090.0,0.47,,,
OGLE-2011-BLG-0265L b,0.88,,OGLE-2011-BLG-0265L,4380.0,0.211,,,
OGLE-2012-BLG-0026L b,0.11,,OGLE-2012-BLG-0026L,4080.0,0.82,,,
OGLE-2012-BLG-0026L c,0.68,,OGLE-2012-BLG-0026L,4080.0,0.82,,,
OGLE-2012-BLG-0563L b,0.39,,OGLE-2012-BLG-0563L,1300.0,0.34,,,
OGLE-2012-BLG-0724L b,0.47,,OGLE-2012-BLG-0724L,6700.0,0.29,,M,
OGLE-2012-BLG-0838 b,0.25,,OGLE-2012-BLG-0838,6620.0,0.54,,,
OGLE-2012-BLG-0950L b,0.11,,OGLE-2012-BLG-0950L,3000.0,0.56,,M,
OGLE-2012-BLG-1323,0.0072,,,,,,,
OGLE-2013-BLG-0132L b,0.29,,OGLE-2013-BLG-0132L,3900.0,0.54,,,
OGLE-2013-BLG-0341L b,0.00522291791209,,OGLE-2013-BLG-0341L,911.0,0.1127,,,
OGLE-2013-BLG-1721L b,0.64,,OGLE-2013-BLG-1721L,6300.0,0.46,,,
OGLE-2014-BLG-0124L b,0.64,,OGLE-2014-BLG-0124L,3600.0,0.89,,,
OGLE-2014-BLG-0319 b,0.57,,OGLE-2014-BLG-0319,7730.0,0.52,,,
OGLE-2014-BLG-1186L b,0.142,,OGLE-2014-BLG-1186L,1700.0,0.35,,,
OGLE-2014-BLG-1722L b,0.174,,OGLE-2014-BLG-1722L,6400.0,0.4,,,
OGLE-2014-BLG-1722L c,0.2633,,OGLE-2014-BLG-1722L,6400.0,0.4,,,
OGLE-2014-BLG-1760L b,0.573,,OGLE-2014-BLG-1760L,6060.0,0.51,,,
OGLE-2015-BLG-0051L b,0.72,,OGLE-2015-BLG-0051L,8200.0,0.1,,G,
OGLE-2015-BLG-0966L b,0.066,,OGLE-2015-BLG-0966L,2900.0,0.38,,M,
OGLE-2015-BLG-1670L b,0.0563,,OGLE-2015-BLG-1670L,6700.0,0.55,,,
OGLE-2015-BLG-1771L b,0.433,,OGLE-2015-BLG-1771L,7070.0,0.077,,,
